Name,Price,Rating,Reviews,Image,Link,Store
"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Sugar Glass ,Clear",EGP 326.68,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61z-mlxUc9L._AC_UL320_.jpg,NA,Amazon
"e.l.f. Glow Reviver Lip Oil, Nourishing Tinted Lip Oil For A High-shine Finish, Infused With Jojoba Oil, Vegan & Cruelty-free, Pink Quartz",EGP 492.48,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/51En247FuNL._AC_UL320_.jpg,NA,Amazon
"EADEM Le Chouchou Lip Softening Balm, Lip Gloss for Women, Lip Plumper & Lip Mask, Overnight Hydrating & Moisturizing Luxury Lip Balm, 0.5 oz, Butter Mochi","EGP 1,313.28",4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61JfS7dfr7L._AC_UL320_.jpg,NA,Amazon
"e.l.f. Squeeze Me More Lip Balm Duo, Moisturizing Balm For A Sheer Tint Of Color, Made With Hyaluronic Acid, Vegan & Cruelty-Free, Cherry & Bubblegum",EGP 492.48,4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/61Z3BJbEm3L._AC_UL320_.jpg,NA,Amazon
"Ruby Kisses Broadway Vita-Lip Clear Lip Gloss (3 Pack Mango Butter, Rosehip, Coconut Oil), Ultra-Hydrating & Soothing Formula with Vitamin Oils, High-Shine Non-Sticky Finish, Healing Lip Balm",EGP 282.36,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/81tvv27dK4L._AC_UL320_.jpg,NA,Amazon
"LANEIGE Lip Glowy Balm: Sheer Tinted Lip Moisturizer with Shea Butter, for Hydrating Shine & Soft Lips","EGP 1,039.68",4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/612UcJQa1VL._AC_UL320_.jpg,NA,Amazon
"Summer Fridays Tinted Lip Butter Balm - Conditioning Vegan Lip Balm for Instant Moisture, Shine & Hydration - Sheer-Tinted, Soothing Skincare - Pink Sugar (.5 Oz)","EGP 1,313.28",4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/51HqvytLPBL._AC_UL320_.jpg,NA,Amazon
"e.l.f. Squeeze Me Lip Balm, Moisturizing Lip Balm for A Sheer Tint of Color, Infused with Hyaluronic Acid, Vegan & Cruelty-Free",EGP 273.60,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/61KMb6HGVVL._AC_UL320_.jpg,NA,Amazon
"Ruby Kisses Broadway Vita-Lip Clear Lip Gloss (5 Pack Mint, Rosehip, Coconut, Argan Oil, Mango Butter), Ultra-Hydrating & Soothing Formula with Vitamin Oils, High-Shine Non-Sticky Finish Lip Balm",EGP 489.20,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/81TUgyu7-AL._AC_UL320_.jpg,NA,Amazon
"Peptide Brightening Lip Serum, Hydrating & Plumping Tinted Lip Gloss, Moisturizing Lip Balm with Polypeptides & Squalane for Glossy Sheer, Smooth Lips(01 Baby Pink)",EGP 541.73,4.0 out of 5 stars,0,https://m.media-amazon.com/images/I/61VsOSSoZcL._AC_UL320_.jpg,NA,Amazon
Ruby Kisses Hydrating Lip Gloss Clear Hydrating Lip Gloss (3 PACK),EGP 408.76,4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/61H3NdHt3RL._AC_UL320_.jpg,NA,Amazon
"Maybelline Lifter Gloss, Hydrating Lip Gloss with Hyaluronic Acid, Ice, Pink Neutral, 0.18 Ounce",EGP 546.11,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/71Dt1HIfvYL._AC_UL320_.jpg,NA,Amazon
"KIKO Milano 3D Hydra Lip Gloss – High Shine, Hydrating, Plumping, Non-Sticky, Moisturizing Lip Makeup",EGP 766.08,4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/81VFe4MKUpL._AC_UL320_.jpg,NA,Amazon
"e.l.f. Lip Lacquer, Nourishing, Non-Sticky Ultra-Shine Lip Gloss With Sheer Color, Infused With Vitamins A & E, Vegan & Cruelty-Free, Whisper Pink",EGP 218.88,4.4 out of 5 stars,0,https://m.media-amazon.com/images/I/51GO4N6tBLL._AC_UL320_.jpg,NA,Amazon
"L.A. COLORS High Shine Lipgloss, Clear CLG932",EGP 135.71,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61Mqddh5faL._AC_UL320_.jpg,NA,Amazon
"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Madeleine (Mid-Tone Nude)",EGP 326.68,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61EcIoezuJL._AC_UL320_.jpg,NA,Amazon
"AZEN 24 Pack Lip Gloss Set, Color Lip Oil for Dry Cracked Lips Moisturizing Hydrating Nourishing with Vitamin E, Valentines Gifts Easter Basket Stuffers",EGP 546.65,4.4 out of 5 stars,0,https://m.media-amazon.com/images/I/81ru3Qeg90L._AC_UL320_.jpg,NA,Amazon
"NICKA K NEW YORK VARIETY SET OF 5 NK Hydrating Lip Gel - Vitamin E (Clear, Rosehip Oil, Bubble Gum, Cherry, Strawberry)",EGP 491.93,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/716gGjqUReL._AC_UL320_.jpg,NA,Amazon
"LANEIGE Lip Sleeping Mask: Nourish, Hydrate, Vitamin C, Murumuru & Shea Butter, Antioxidants, Flaky, Dry Lips","EGP 1,313.28",4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/51bHKet2shL._AC_UL320_.jpg,NA,Amazon
"tarte maracuja juicy lip plump – Hydrating & Volumizing Lip Plumper Gloss Balm with Nourishing Hyaluronic Acid & Vitamin E, Plumps & Moisturizes, Vegan & Cruelty-Free","EGP 1,477.44",4.4 out of 5 stars,0,https://m.media-amazon.com/images/I/51GagGPiTbL._AC_UL320_.jpg,NA,Amazon
"eos Cashmere Lip Butter - Vanilla Cashmere, Plumping Peptides, Smoothing, eos Lip Butter, Shea Butter, Lip Mask, Lip Moisturizer, Soft Lips, 0.35 fl oz",EGP 381.40,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/61Ye4Q4Qh8L._AC_UL320_.jpg,NA,Amazon
"Ruby Kisses Broadway Vita-Lip Clear Lip Gloss (8 Pack), Ultra-Hydrating & Soothing Formula with Vitamins, High-Shine Non-Sticky Finish Lip Balm with Mint, Rosehip, Coconut, Mango, Argan, Honey, Shea",EGP 652.26,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/815GyFxpZgL._AC_UL320_.jpg,NA,Amazon
Tower 28 ShineOn Lip Gloss Jelly - Hydrating Tinted Lip Balm + Milky Gloss for Sensitive Lips - Non-Sticky + High-Shine Jelly Formula with Nourishing Oil Blend - Pistachio - Nude Pink (0.13),EGP 875.52,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/61Fv5dsLTnL._AC_UL320_.jpg,NA,Amazon
"4 PCS Summer Special Lip Butter Balm - Ultra-Hydrating, Nourishing Lip Care with Natural Ingredients, Shea Butter & Olive Oil, Soothes & Softens Dry Lips (4PCS, 0.5 Fl Oz (Pack of 4))",EGP 923.67,4.4 out of 5 stars,0,https://m.media-amazon.com/images/I/61R+tTJEsFL._AC_UL320_.jpg,NA,Amazon
"wet n wild MegaSlicks Lip Gloss, Ultra-Glossy, Vitamin-E Enriched, Ultra-Gloss High Shine Moisturizing, Cruelty-Free & Vegan - Cherish",EGP 124.76,4.4 out of 5 stars,0,https://m.media-amazon.com/images/I/81umwuznBlL._AC_UL320_.jpg,NA,Amazon
"Neutrogena Hydro Boost Tinted Lip Oil with Hyaluronic Acid, Hydrating and Nourishing Lip Oil for Fuller Looking Lips, Light Pink, .2 fl. Oz",EGP 491.93,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61GQ7uV+eNL._AC_UL320_.jpg,NA,Amazon
"Lip Smacker Liquid Lip Gloss Friendship Pack, 5 Count",EGP 479.89,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/81kB8v8ZXdL._AC_UL320_.jpg,NA,Amazon
"eos 24H Moisture Super Balm - Marshmallow Fluff, Lip mask, Moisturizing, Lip Treatment, Limited-Edition Skincare, 0.35 fl oz",EGP 245.69,4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/71m4XN38OsL._AC_UL320_.jpg,NA,Amazon
"Revision Skincare YouthFull Lip Replenisher®, Moisturizing Lip Plumper with Hyaluronic Acid, Volumizing, Plumping and Anti Aging",NA,4.3 out of 5 stars,0,https://m.media-amazon.com/images/I/61ecRmnIDHL._AC_UL320_.jpg,NA,Amazon
"Nécessaire The Lip Balm | Hydrating Hyaluronic Acid Lip Balm for Women and Men, Mint Oil with Niacinamide + Essential Ceramides. Non-Comedogenic Lip Balm for Dry Lips – 15 ml / 0.5 fl oz","EGP 1,532.16",4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/61R6-fOgulL._AC_UL320_.jpg,NA,Amazon
"NYX PROFESSIONAL MAKEUP Fat Oil Lip Drip, Moisturizing Lip Oil Gloss, Vegan Tinted Formula, Up to 12 HR Hydration - Missed Call (Sheer Pink)",EGP 492.48,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/61-H2fFdM1L._AC_UL320_.jpg,NA,Amazon
"Burt's Bees Easter Basket Stuffers, Lip Shimmer Nude Collection, Tinted Lip Balm, Moisturizing for All Day Hydration with Natural Glowy Finish & Buildable Color, Value Pack, 3 Tubes x 0.09 Oz",EGP 710.81,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/81-MXIV24nL._AC_UL320_.jpg,NA,Amazon
"Charlotte Tilbury Lip Lustre Hydrating Lip Gloss - High Shine Non-Sticky Formula with Lotus Extract - Long Lasting Moisturizing Makeup, Velvet Soft Finish","EGP 1,532.16",4.3 out of 5 stars,0,https://m.media-amazon.com/images/I/51plykIED1L._AC_UL320_.jpg,NA,Amazon
"Aquaphor Lip Repair Ointment, Moisturizing Lip Balm Pack, Relieves Dryness, 0.35 Tube, Pack of 2",EGP 457.46,4.8 out of 5 stars,0,https://m.media-amazon.com/images/I/71YB50KFEiL._AC_UL320_.jpg,NA,Amazon
"Tree Hut Strawberry Sugarlips Lip Butter, Hydrating Lip Care for Soft, Smooth & Nourished Lips, 0.52 fl oz",EGP 327.77,4.6 out of 5 stars,0,https://m.media-amazon.com/images/I/61b9tFJLkIL._AC_UL320_.jpg,NA,Amazon
"4Pcs Tinted Lip Gloss Set, Hydrating Lip Plumper High Shine Glass Finish Lip Jam, Long-Lasting Liquid Lipstick, Moisturizing Jelly Lipstick, Lip Gloss for Women",EGP 491.93,3.9 out of 5 stars,0,https://m.media-amazon.com/images/I/719ahgYC9QL._AC_UL320_.jpg,NA,Amazon
"Yasovigi 6 Colors Lip Oil Lip Stain, Watery Lip Oil Lip Tint Stain Set, Liquid Lipstick Lip Gloss Moisturizing, Multi-use Lip and Cheek Tint, Non-Sticky, High Pigment (Type A)",EGP 381.95,3.9 out of 5 stars,0,https://m.media-amazon.com/images/I/710eeRJ8ADL._AC_UL320_.jpg,NA,Amazon
"e.l.f. Sheer For It Blush Tint, Multi-Use, Long-Lasting Lip & Cheek Makeup, Creates A Natural Flush Finish, Vegan & Cruelty-Free, Pink Positive",EGP 299.87,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/615ToV1lkUL._AC_UL320_.jpg,NA,Amazon
"Nature Republic HONEY MELTING LIP (03 BERRY) SOFT LIP STICK, Hydrating Gloss, Moisturizing balms, Sheer tint, Shine & Glowy Finish, korean make up",EGP 705.89,4.2 out of 5 stars,0,https://m.media-amazon.com/images/I/610KVnD62gL._AC_UL320_.jpg,NA,Amazon
"MAYBELLINE Lifter Glaze Oil Balm with Hyaluronic Acid and Hydrating Oil Blend, Lip Balm with 24HRs of Smooth, Moisturizing Shine, Pink Drip (Sheer Baby Pink)",EGP 381.40,4.3 out of 5 stars,0,https://m.media-amazon.com/images/I/613hCQ-jtvL._AC_UL320_.jpg,NA,Amazon
"Maybelline Lifter Gloss, Hydrating Lip Gloss with Hyaluronic Acid, High Shine for Plumper Looking Lips, Stone, Rosey Neutral, 0.18 Ounce",EGP 546.11,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/71rR+PuN0IL._AC_UL320_.jpg,NA,Amazon
"LANEIGE Glaze Craze Tinted Lip Serum: Hydrating Lip Serum for Glossy, Nourished Lips with Plumping Polypeptides","EGP 1,203.84",4.7 out of 5 stars,0,https://m.media-amazon.com/images/I/51O7t9I+EzL._AC_UL320_.jpg,NA,Amazon
"Maybelline Lifter Gloss, Hydrating Lip Gloss with Hyaluronic Acid, High Shine for Plumper Looking Lips, Silk, Warm Mauve Neutral, 0.18 Ounce",EGP 546.11,4.5 out of 5 stars,0,https://m.media-amazon.com/images/I/71qEE1SGsnL._AC_UL320_.jpg,NA,Amazon
"Lip Smacker Rolly Lip Gloss, Classic Roller-Ball Design for a Cooling Sensation, Hydrating & Moisturizing Shine - Strawberry",EGP 300.96,4.3 out of 5 stars,0,https://m.media-amazon.com/images/I/61ECurnd5bL._AC_UL320_.jpg,NA,Amazon
