Name,Price,Link,Image,Rating,Reviews
"Maybelline Lifter Lip Gloss, 006 Reef",EGP 375.00,https://www.jumia.com.eg/maybelline-lifter-lip-gloss-006-reef-23075257.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/257032/1.jpg?1390,4.4 out of 5,
Might Cinema Transparent Lip Gloss - Long-lasting & Moisturizing,EGP 99.99,https://www.jumia.com.eg/might-cinema-transparent-lip-gloss-long-lasting-moisturizing-92586095.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/068529/1.jpg?1685,4.1 out of 5,
Luna Lip Gloss New No.46,EGP 99.00,https://www.jumia.com.eg/luna-lip-gloss-new-no.46-131512675.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/6215131/1.jpg?6278,4.3 out of 5,
L'Oreal Paris Colour Riche Extraordinaire Lipcolour - 104 Dancing Rose,EGP 129.00,https://www.jumia.com.eg/loreal-paris-colour-riche-extraordinaire-lipcolour-104-dancing-rose-133864936.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/9468331/1.jpg?4033,3.7 out of 5,
Avon Nourishing Lip Oil BLOSSOM - 2 PCS,EGP 449.00,https://www.jumia.com.eg/avon-nourishing-lip-oil-blossom-2-pcs-130772701.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/7277031/1.jpg?1681,3.8 out of 5,
L.A. Girl L.A. Girl Glossy Plumping Lipgloss - GLG924 - Extra,EGP 199.00,https://www.jumia.com.eg/l.a.-girl-l.a.-girl-glossy-plumping-lipgloss-glg924-extra-38428275.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/282483/1.jpg?4884,4.8 out of 5,
Sandra Lip Gloss Gil-Sandra-Long Lasting With Glossy Finish-SC526-113,EGP 99.99,https://www.jumia.com.eg/sandra-lip-gloss-gil-sandra-long-lasting-with-glossy-finish-sc526-113-133580831.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/8085331/1.jpg?3129,3 out of 5,
Essence Lip gloss Juicy Bomb - 102.Witty watermelon,EGP 165.00,https://www.jumia.com.eg/essence-lip-gloss-juicy-bomb-102.witty-watermelon-134192750.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/7291431/1.jpg?8810,,
Avon Nourishing Lip Oil Shimmering Petal 7 ml,EGP 239.00,https://www.jumia.com.eg/avon-nourishing-lip-oil-shimmering-petal-7-ml-123009509.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/5900321/1.jpg?8905,4.7 out of 5,
L'Oreal Paris eal Paris Brilliant Signature Plump in Gloss Shine Plumping & Hydrating Lips - 406 Amplify,EGP 479.00,https://www.jumia.com.eg/loreal-paris-eal-paris-brilliant-signature-plump-in-gloss-shine-plumping-hydrating-lips-406-amplify-46514767.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/741564/1.jpg?0411,4.3 out of 5,
